Code,EQ,Species,Complexes,Complex2,Chemotype,Host,Year ,State,Municipality,Lat,Lon
F951,3228,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.562622,-51.581294
F952,3218,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.424064,-51.660706
F953,3216,FFSC,FFSC,FFSC,NA,Barley,2012,Parana,Guarapuava,-25.425011,-51.658233
F961,3014,FIESC ,FIESC,FIESC,NA,Wheat,2012,Parana,Cantagalo,-25.280558,-52.075367
F962,3009,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Cantagalo,-25.281431,-52.075931
F963,3008,FFSC,FFSC,FFSC,NA,Wheat,2012,Parana,Cantagalo,-25.282269,-52.080944
F964,3003,F. poae,F. poae,F. poae,NA,Wheat,2012,Parana,Guarapuava,-25.216239,-51.634711
F965,2995,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.558669,-51.796953
F966,3167,FTSC11,FTSC,FTSC,NA,Barley,2012,Parana,Turvo,-24.964544,-51.478694
F967,3166,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Turvo,-24.964542,-51.479756
F977,2536,F. avenaceum,FTSC,FTSC,NA,Barley,2012,Parana,Guarapuava,-25.551808,-51.798067
F978,2535,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.551803,-51.799131
F979,2534,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.551797,-51.800194
F994,3278,F. poae,F. poae,F. poae,NA,Wheat,2012,Parana,Guarapuava,-25.552894,-51.481186
F995,3277,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.553258,-51.480042
F996,3276,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.553256,-51.4805
F997,3044,F. avenaceum,FTSC,FTSC,NA,Wheat,2012,Parana,Roncador,-24.56671,-52.40699
F998,3274,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.553253,-51.481417
F999,3039,FIESC ,FIESC,FIESC,NA,Wheat,2012,Parana,Roncador,-24.56671,-52.40699
F1006,3667,F. graminearum ,FGSC,FGSC,15-ADON,Wheat ,2013,Parana,Roncador,-24.56671,-52.40699
F1007,3666,F. cortaderiae ,FGSC,FGSC,NIV,Wheat ,2013,Parana,Roncador,-24.56671,-52.40699
F1008,3664,F. graminearum ,FGSC,FGSC,15-ADON,Wheat ,2013,Parana,Roncador,-24.56671,-52.40699
